,participant,value,quantifier,count,bin,bin_label,object,img_name,segmentation,thingsplus_id,size_norm
0,0,100.0,base,42,"(40, 43]",13,pills,fsc_1391.jpg,0.0698040418388429,pill,130.8658537
1,0,6.434,few,68,"(67, 70]",22,bottle caps,fsc_1959.jpg,0.0208306430785123,cap,149.4375
2,0,75.603,some,31,"(28, 31]",9,glasses,fsc_2031.jpg,0.3252840909090909,glasses,205.9772727
3,0,63.137,base,81,"(79, 82]",26,glasses,fsc_2039.jpg,0.8306753615702479,glasses,205.9772727
4,0,100.0,many,50,"(49, 52]",16,apples,fsc_2270.jpg,0.5263106921487604,apple,199.8478261
5,0,17.426,few,62,"(61, 64]",20,bricks,fsc_2378.jpg,0.9048456869834712,brick,228.5444444
6,0,93.029,many,59,"(58, 61]",19,horses,fsc_2409.jpg,0.4796697443181818,horse,341.82608700000003
7,0,100.0,base,52,"(49, 52]",16,windows,fsc_2468.jpg,0.321119576446281,window,283.3977273
8,0,22.922,some,97,"(94, 97]",31,bottles,fsc_2553.jpg,0.4859649405991735,bottle,223.0465116
9,0,28.954,some,81,"(79, 82]",26,bottles,fsc_2575.jpg,0.1334339488636363,bottle,223.0465116
10,0,100.0,base,17,"(16, 19]",5,cement bags,fsc_2630.jpg,0.941236763946281,sandbag,262.0595238
11,0,55.63,a few,27,"(25, 28]",8,oranges,fsc_2698.jpg,0.3713923682851239,orange,202.6477273
12,0,33.78,some,53,"(52, 55]",17,strawberries,fsc_312.jpg,0.940010007747934,strawberry,164.81707319999998
13,0,36.729,some,40,"(37, 40]",12,buns,fsc_3168.jpg,0.2867219783057851,bun,204.1744186
14,0,93.566,a few,31,"(28, 31]",9,peas,fsc_3310.jpg,0.3378422004132231,pea,131.06976740000002
15,0,41.555,a lot of,99,"(97, 100]",32,peas,fsc_3328.jpg,0.2648502066115702,pea,131.06976740000002
16,0,0.0,few,61,"(58, 61]",19,nuts,fsc_3417.jpg,0.8851126678719008,nut,146.8372093
17,0,94.102,many,14,"(13, 16]",4,packets of noodles,fsc_3446.jpg,0.7920728951446281,,
18,0,0.0,a lot of,38,"(37, 40]",12,beads,fsc_3449.jpg,0.2702656895661157,bead,136.4787234
19,0,0.0,a few,91,"(88, 91]",29,beans,fsc_3499.jpg,0.9092926782024794,bean,131.5425532
20,0,98.794,base,95,"(94, 97]",31,coffee beans,fsc_3596.jpg,0.0,coffee_bean,130.8125
21,0,45.174,many,9,"(7, 10]",2,toilet paper rolls,fsc_3661.jpg,0.3662916451446281,toilet_paper,216.75
22,0,98.257,base,28,"(25, 28]",8,beans,fsc_3797.jpg,0.390794486053719,bean,131.5425532
23,0,37.534,many,54,"(52, 55]",17,beans,fsc_3798.jpg,0.3141706482438016,bean,131.5425532
24,0,84.718,some,64,"(61, 64]",20,steps,fsc_3842.jpg,0.286939888946281,,
25,0,0.0,a lot of,100,"(97, 100]",32,beads,fsc_3899.jpg,0.0,bead,136.4787234
26,0,47.453,some,75,"(73, 76]",24,potatoes,fsc_3921.jpg,0.0,potato,200.5
27,0,100.0,base,17,"(16, 19]",5,potatoes,fsc_3938.jpg,0.4526084710743802,potato,200.5
28,0,0.0,few,55,"(52, 55]",17,candles,fsc_3975.jpg,0.9309465392561984,candle,208.7613636
29,0,100.0,base,100,"(97, 100]",32,screws,fsc_3982.jpg,0.0046326188016528,screw,147.14583330000002
30,0,94.906,base,95,"(94, 97]",31,beads,fsc_4029.jpg,0.3165999483471074,bead,136.4787234
31,0,100.0,many,68,"(67, 70]",22,tomatoes,fsc_42.jpg,0.2865363507231405,tomato,194.5638298
32,0,75.335,some,91,"(88, 91]",29,peas,fsc_4284.jpg,0.6894854080578512,pea,131.06976740000002
33,0,100.0,some,83,"(82, 85]",27,peas,fsc_4300.jpg,0.312879325929752,pea,131.06976740000002
34,0,100.0,base,89,"(88, 91]",29,tomatoes,fsc_4472.jpg,0.6234746255165289,tomato,194.5638298
35,0,75.335,many,64,"(61, 64]",20,kiwis,fsc_4597.jpg,0.0,kiwi,182.7045455
36,0,6.702,a few,99,"(97, 100]",32,balls,fsc_4768.jpg,0.0,ball,208.8170732
37,0,99.33,base,51,"(49, 52]",16,balls,fsc_4769.jpg,0.0081756844008264,ball,208.8170732
38,0,60.858,a few,92,"(91, 94]",30,balls,fsc_4779.jpg,0.0,ball,208.8170732
39,0,100.0,base,44,"(43, 46]",14,balls,fsc_4793.jpg,0.003777117768595,ball,208.8170732
40,0,25.335,many,21,"(19, 22]",6,grapes,fsc_4845.jpg,0.3836922133264462,grape,153.1511628
41,0,100.0,a few,63,"(61, 64]",20,nuts,fsc_5143.jpg,0.3710130423553719,nut,146.8372093
42,0,77.078,a few,41,"(40, 43]",13,pearls,fsc_5182.jpg,0.0099108987603305,pearl,133.744186
43,0,100.0,base,8,"(7, 10]",2,cupcakes,fsc_5238.jpg,0.6933270919421488,cupcake,194.5581395
44,0,97.319,some,12,"(10, 13]",3,cupcakes,fsc_5250.jpg,0.4809529958677686,cupcake,194.5581395
45,0,100.0,base,31,"(28, 31]",9,candles,fsc_5315.jpg,0.8002889333677686,candle,208.7613636
46,0,100.0,base,91,"(88, 91]",29,tomatoes,fsc_54.jpg,0.1114007618801652,tomato,194.5638298
47,0,100.0,base,45,"(43, 46]",14,biscuits,fsc_5438.jpg,0.9856259684917356,biscuit,190.0729167
48,0,100.0,base,43,"(40, 43]",13,nuts,fsc_5496.jpg,0.1937548424586777,nut,146.8372093
49,0,20.912,many,93,"(91, 94]",30,marbles,fsc_5592.jpg,0.565470041322314,marble,142.1555556
50,0,11.662,few,80,"(79, 82]",26,potatoes,fsc_5690.jpg,0.3736521823347107,potato,200.5
51,0,27.882,few,95,"(94, 97]",31,beads,fsc_5753.jpg,0.3739750129132231,bead,136.4787234
52,0,58.043,a lot of,47,"(46, 49]",15,strawberries,fsc_5826.jpg,0.6418840392561983,strawberry,164.81707319999998
53,0,53.619,some,92,"(91, 94]",30,strawberries,fsc_5833.jpg,0.9771920196280992,strawberry,164.81707319999998
54,0,100.0,some,83,"(82, 85]",27,grapes,fsc_5867.jpg,0.7181527634297521,grape,153.1511628
55,0,38.606,a few,62,"(61, 64]",20,grapes,fsc_5894.jpg,0.0,grape,153.1511628
56,0,98.123,some,22,"(19, 22]",6,eggs,fsc_5925.jpg,0.9177669808884298,egg,180.6829268
57,0,0.804,few,48,"(46, 49]",15,eggs,fsc_5943.jpg,0.0725158186983471,egg,180.6829268
58,0,100.0,a lot of,55,"(52, 55]",17,chairs,fsc_5948.jpg,0.7048440728305785,chair,290.0
59,0,85.523,some,39,"(37, 40]",12,birds,fsc_604.jpg,0.3652182334710744,bird,220.6153846
60,0,99.732,base,81,"(79, 82]",26,tomatoes,fsc_6162.jpg,0.3231695506198347,tomato,194.5638298
61,0,10.456,few,72,"(70, 73]",23,coins,fsc_6225.jpg,0.0,coin,146.32291669999998
62,0,9.651,some,93,"(91, 94]",30,coins,fsc_6232.jpg,0.0,coin,146.32291669999998
63,0,19.303,some,32,"(31, 34]",10,coins,fsc_6234.jpg,0.2879325929752066,coin,146.32291669999998
64,0,7.373,few,72,"(70, 73]",23,coins,fsc_6235.jpg,0.0,coin,146.32291669999998
65,0,99.464,many,50,"(49, 52]",16,pills,fsc_6294.jpg,0.3517077737603306,pill,130.8658537
66,0,100.0,base,27,"(25, 28]",8,shoes,fsc_6351.jpg,0.015794486053719,shoe,224.4347826
67,0,0.0,few,10,"(7, 10]",2,shoes,fsc_6370.jpg,0.4260960098140496,shoe,224.4347826
68,0,100.0,some,94,"(91, 94]",30,beads,fsc_6471.jpg,0.387864798553719,bead,136.4787234
69,0,4.021,few,84,"(82, 85]",27,beads,fsc_6475.jpg,0.3430720557851239,bead,136.4787234
70,0,100.0,few,93,"(91, 94]",30,beads,fsc_6478.jpg,0.0121384297520661,bead,136.4787234
71,0,87.265,a few,92,"(91, 94]",30,beads,fsc_6516.jpg,0.0893837164256198,bead,136.4787234
72,0,100.0,base,100,"(97, 100]",32,markers,fsc_6656.jpg,0.277472882231405,marker,189.9146341
73,0,98.123,some,20,"(19, 22]",6,flowers,fsc_6725.jpg,0.7174990315082644,flower,188.13414630000003
74,0,100.0,some,8,"(7, 10]",2,plates,fsc_6854.jpg,0.3809158703512397,plate,229.25
75,0,0.0,few,87,"(85, 88]",28,windows,fsc_6889.jpg,0.0476901472107438,window,283.3977273
76,0,100.0,base,63,"(61, 64]",20,apples,fsc_689.jpg,0.0661399147727272,apple,199.8478261
77,0,100.0,base,89,"(88, 91]",29,eggs,fsc_6996.jpg,0.1009410511363636,egg,180.6829268
78,0,100.0,base,100,"(97, 100]",32,bottles,fsc_7016.jpg,0.242058367768595,bottle,223.0465116
79,0,100.0,many,50,"(49, 52]",16,bottles,fsc_7095.jpg,0.9188726756198348,bottle,223.0465116
80,0,100.0,some,59,"(58, 61]",19,shoes,fsc_7119.jpg,0.1103354209710743,shoe,224.4347826
81,0,38.07,a lot of,56,"(55, 58]",18,sticky notes,fsc_7200.jpg,0.2976740056818182,,
82,0,8.311,few,40,"(37, 40]",12,cassettes,fsc_729.jpg,0.9817520015495868,cassette,200.5111111
83,0,24.263,a few,95,"(94, 97]",31,caps,fsc_7321.jpg,0.0,hat,233.1976744
84,0,18.097,few,30,"(28, 31]",9,fish,fsc_7340.jpg,0.0,fish,209.3488372
85,0,40.08,a lot of,42,"(40, 43]",13,cups,fsc_7406.jpg,0.239467652376033,cup,205.5555556
86,0,100.0,some,56,"(55, 58]",18,people,fsc_7479.jpg,0.8075041967975206,man,313.97560980000003
87,0,56.971,a few,47,"(46, 49]",15,caps,fsc_7647.jpg,0.0482793130165289,hat,233.1976744
88,0,7.507,a lot of,72,"(70, 73]",23,ants,fsc_7655.jpg,0.0,ant,116.0111111
89,0,97.855,base,66,"(64, 67]",21,people,fsc_7703.jpg,0.4017868672520661,man,313.97560980000003
90,0,74.531,many,77,"(76, 79]",25,cups,fsc_7704.jpg,0.7162722753099173,cup,205.5555556
91,0,6.971,some,59,"(58, 61]",19,tomatoes,fsc_78.jpg,0.4265237603305785,tomato,194.5638298
92,0,14.879,few,97,"(94, 97]",31,birds,fsc_943.jpg,0.6465408703512396,bird,220.6153846
93,0,100.0,base,48,"(46, 49]",15,birds,fsc_961.jpg,0.2063290934917355,bird,220.6153846
94,0,0.0,few,93,"(91, 94]",30,watches,fsc_991.jpg,0.8784139333677686,watch,183.7934783
95,0,85.925,few,5,"(4, 7]",1,balls,tqa_2341127.jpg,0.010443569214876,ball,208.8170732
96,0,2.815,many,2,"(1, 4]",0,swans,tqa_2342341.jpg,0.2036173166322314,swan,261.8958333
97,0,100.0,a few,7,"(4, 7]",1,skis,tqa_2369581.jpg,0.536431430785124,ski,280.0568182
98,0,100.0,base,4,"(1, 4]",0,steps,tqa_2386369.jpg,0.0034058626033057,,
99,0,8.043,few,7,"(4, 7]",1,donuts,tqa_2411970.jpg,0.3406588972107438,donut,206.5
100,1,0.0,few,31,"(28, 31]",9,bottle caps,fsc_1891.jpg,0.0383280604338843,cap,149.4375
101,1,100.0,a lot of,48,"(46, 49]",15,bottle caps,fsc_1944.jpg,0.0,cap,149.4375
102,1,100.0,base,95,"(94, 97]",31,bottle caps,fsc_1987.jpg,0.0,cap,149.4375
103,1,100.0,a lot of,83,"(82, 85]",27,bottle caps,fsc_1999.jpg,0.0347769240702479,cap,149.4375
104,1,100.0,base,98,"(97, 100]",32,apples,fsc_2236.jpg,0.3436854338842975,apple,199.8478261
105,1,87.936,a lot of,20,"(19, 22]",6,apples,fsc_2237.jpg,0.2388462035123967,apple,199.8478261
106,1,23.458,some,58,"(55, 58]",18,camels,fsc_2316.jpg,0.2349318827479339,camel,348.0729167
107,1,100.0,some,69,"(67, 70]",22,grapes,fsc_251.jpg,0.1160575929752066,grape,153.1511628
108,1,0.0,a few,67,"(64, 67]",21,bowls,fsc_2672.jpg,0.1236925361570247,bowl,224.9555556
109,1,100.0,base,85,"(82, 85]",27,oranges,fsc_2715.jpg,0.4258054622933884,orange,202.6477273
110,1,0.0,few,39,"(37, 40]",12,oranges,fsc_2752.jpg,0.9606308109504132,orange,202.6477273
111,1,100.0,many,25,"(22, 25]",7,cans,fsc_2779.jpg,0.6890173037190083,can,211.96875
112,1,100.0,base,80,"(79, 82]",26,cans,fsc_2799.jpg,0.977119382747934,can,211.96875
113,1,81.501,some,14,"(13, 16]",4,strawberries,fsc_291.jpg,0.0173924974173553,strawberry,164.81707319999998
114,1,74.397,a few,17,"(16, 19]",5,stamps,fsc_2941.jpg,0.224012138429752,stamp1,152.4130435
115,1,100.0,base,68,"(67, 70]",22,stamps,fsc_2944.jpg,0.9175409994834712,stamp1,152.4130435
116,1,74.263,some,24,"(22, 25]",7,fish,fsc_2960.jpg,0.1563549199380165,fish,209.3488372
117,1,0.0,a few,60,"(58, 61]",19,coffee beans,fsc_3121.jpg,0.0,coffee_bean,130.8125
118,1,0.0,few,88,"(85, 88]",28,coffee beans,fsc_3133.jpg,0.2878841683884297,coffee_bean,130.8125
